1,10,50,100,250,500,1000,2500,5000,full,price,time
46596.47058323826,46596.59662236937,46599.221512099684,46597.25133896419,46606.39417447235,46895.151936918905,47112.56668195599,47686.53979925003,50394.64597634525,131.36052935100997,46596.26,2024-01-11T01:34:58.724Z
46598.13237796627,46598.4609436621,46600.63578636661,46598.0572593886,46606.75546990865,46894.71058987243,47112.10381845029,47686.153683699275,50393.94923771639,131.36330762176837,46598.14,2024-01-11T01:34:59.724Z
46606.71369785287,46610.235715965886,46613.422358828815,46613.216041725034,46617.368580106864,46900.19445390901,47110.757609460765,47693.198527427885,50393.66102377185,131.38989056109241,46606.72,2024-01-11T01:35:00.724Z
46606.712549266886,46608.88531253557,46613.45504197866,46614.580319244546,46617.20918797038,46897.440481381615,47108.19469023006,47699.02711678928,50389.11749879854,131.40745734436675,46611.46,2024-01-11T01:35:01.724Z
46619.507809825045,46619.279955374084,46627.32696244379,46636.5683162081,46664.07766451639,46902.84364321604,47113.70558168405,47708.17589797493,50483.8697956219,131.38338206322555,46619.51,2024-01-11T01:35:02.724Z
46619.24076836741,46618.353536307986,46624.19384624191,46623.30613876413,46621.27863656768,46905.25521512369,47115.49044512064,47707.044260286486,50480.269559131986,131.37206477965043,46619.51,2024-01-11T01:35:03.725Z
46626.2149947806,46631.43703544969,46634.56116700107,46664.15046194885,46676.30759294994,46933.77365193583,47129.17904415289,47715.23744666156,50443.58217127585,131.31131325169707,46631.84,2024-01-11T01:35:04.725Z
46619.88055349454,46621.81239565121,46620.72570772028,46621.09496579659,46623.154320317095,46903.45455505581,47112.66187853336,47684.25571911459,50391.23318000847,131.39234080378816,46622.25,2024-01-11T01:35:05.725Z
46617.82405940594,46617.25762434252,46619.82026737614,46617.14082833917,46622.57087429546,46903.85135429148,47113.14696633109,47694.17574276599,50394.05465065904,131.3880841034989,46620.35,2024-01-11T01:35:06.725Z
46614.94532840373,46617.649391082625,46612.898482292345,46617.15791986422,46622.575486677095,46901.83881596289,47111.27412797714,47683.10441678737,50389.13661103605,131.3992031812712,46620.35,2024-01-11T01:35:07.725Z
